DataelementID,Period,orgUnitID,categoryOptionComboID,AttributeOptionComboID,Value
kznQBykTtJt,2021Q3,TMCWi1jV65s,rAvlLbG5dAb,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,dpFsZrc6Ffc,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,A30fQSASmum,JVafaPfopJf,5
kznQBykTtJt,2021Q3,TMCWi1jV65s,d7veFTMK1Jw,JVafaPfopJf,11
kznQBykTtJt,2021Q3,TMCWi1jV65s,I0zEWK2C11q,JVafaPfopJf,10
kznQBykTtJt,2021Q3,TMCWi1jV65s,RKp8rxNgQAX,JVafaPfopJf,25
kznQBykTtJt,2021Q3,TMCWi1jV65s,MRnYv4nt5gc,JVafaPfopJf,17
kznQBykTtJt,2021Q3,TMCWi1jV65s,wOxLLZhNrPi,JVafaPfopJf,29
kznQBykTtJt,2021Q3,TMCWi1jV65s,ONQ9uSvOkGB,JVafaPfopJf,11
kznQBykTtJt,2021Q3,TMCWi1jV65s,U9R0CAPL0AS,JVafaPfopJf,29
kznQBykTtJt,2021Q3,TMCWi1jV65s,vIZW4Jv7qqy,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,bQY52yJFcaj,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,sjBprG9Atqw,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,Cz8TfD9G4NS,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,hX01YQ8Xd0A,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,Slv7vEZKRXb,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,X3iUwZMRbpC,JVafaPfopJf,2
kznQBykTtJt,2021Q3,TMCWi1jV65s,ABHnQuSJzZJ,JVafaPfopJf,10
kznQBykTtJt,2021Q3,TMCWi1jV65s,PRsdy4olkFE,JVafaPfopJf,16
kznQBykTtJt,2021Q3,TMCWi1jV65s,TcbPwuDGR7C,JVafaPfopJf,11
kznQBykTtJt,2021Q3,TMCWi1jV65s,Ba3F9Cdo4TM,JVafaPfopJf,22
kznQBykTtJt,2021Q3,TMCWi1jV65s,hrDvHLgNfrf,JVafaPfopJf,32
kznQBykTtJt,2021Q3,TMCWi1jV65s,pjkXBdgweKp,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,UmKpnaBWKNG,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,mR4xiOSrCOb,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,Wl6Xe4IRe5N,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,B3YJoWLCkue,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,XkXgVeD7zWW,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,nVgwQTwVWng,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,oDCkdeCOlft,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,Xv7byNPl3sp,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,mKoxFv2cCli,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,mGvZHOcps52,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,i9oC3RD2uGE,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,UBAW8zO2PXf,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,CUcChuyrJO2,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,WCUwCrmtbTo,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,WalMMpT8Ue2,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,MEG4maaWoA7,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,dsq0QpQMPj0,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,FKErASt2t1z,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,dVZwJhviGrl,JVafaPfopJf,0
kznQBykTtJt,2021Q3,TMCWi1jV65s,uQJ2RFlLZ8L,JVafaPfopJf,0
